"Step","Our Work - island_0_best_score","Our Work - island_0_best_score__MIN","Our Work - island_0_best_score__MAX","Benchmark - island_0_best_score","Benchmark - island_0_best_score__MIN","Benchmark - island_0_best_score__MAX"
"570","","","","-208.8","-208.8","-208.8"
"571","","","","-208.8","-208.8","-208.8"
"572","","","","-208.8","-208.8","-208.8"
"573","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"574","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"575","","","","-208.8","-208.8","-208.8"
"576","-211.8","-211.8","-211.8","","",""
"577","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"578","","","","-208.8","-208.8","-208.8"
"581","","","","-208.8","-208.8","-208.8"
"582","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"584","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"585","","","","-208.8","-208.8","-208.8"
"587","","","","-208.8","-208.8","-208.8"
"589","","","","-208.8","-208.8","-208.8"
"591","-211.8","-211.8","-211.8","","",""
"594","-211.8","-211.8","-211.8","","",""
"598","","","","-208.8","-208.8","-208.8"
"599","-211.8","-211.8","-211.8","","",""
"600","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"601","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"603","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"605","-211.8","-211.8","-211.8","","",""
"608","-211.8","-211.8","-211.8","","",""
"611","-211.8","-211.8","-211.8","","",""
"614","-211.8","-211.8","-211.8","","",""
"617","-211.8","-211.8","-211.8","","",""
"618","-211.8","-211.8","-211.8","","",""
"620","-211.8","-211.8","-211.8","","",""
"622","-211.8","-211.8","-211.8","","",""
"624","-211.8","-211.8","-211.8","","",""
"626","-211.8","-211.8","-211.8","","",""
"627","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"628","-211.8","-211.8","-211.8","","",""
"630","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"632","-211.8","-211.8","-211.8","","",""
"635","","","","-208.8","-208.8","-208.8"
"637","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"638","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"639","-211.8","-211.8","-211.8","","",""
"640","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"641","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"642","-211.8","-211.8","-211.8","","",""
"643","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"644","-211.8","-211.8","-211.8","","",""
"645","-211.8","-211.8","-211.8","","",""
"647","","","","-208.8","-208.8","-208.8"
"648","-211.8","-211.8","-211.8","","",""
"649","","","","-208.8","-208.8","-208.8"
"650","","","","-208.8","-208.8","-208.8"
"651","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"652","-211.8","-211.8","-211.8","","",""
"654","-211.8","-211.8","-211.8","","",""
"658","","","","-208.8","-208.8","-208.8"
"660","","","","-208.8","-208.8","-208.8"
"663","","","","-208.8","-208.8","-208.8"
"666","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"668","-211.8","-211.8","-211.8","","",""
"674","","","","-208.8","-208.8","-208.8"
"675","","","","-208.8","-208.8","-208.8"
"678","-211.8","-211.8","-211.8","","",""
"680","","","","-208.8","-208.8","-208.8"
"681","-211.8","-211.8","-211.8","","",""
"682","","","","-208.8","-208.8","-208.8"
"683","","","","-208.8","-208.8","-208.8"
"684","-211.8","-211.8","-211.8","","",""
"685","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"686","-211.8","-211.8","-211.8","","",""
"688","-211.8","-211.8","-211.8","","",""
"689","","","","-208.8","-208.8","-208.8"
"690","-211.8","-211.8","-211.8","","",""
"691","-211.65","-211.65","-211.65","-208.8","-208.8","-208.8"
"693","-211.65","-211.65","-211.65","-208.8","-208.8","-208.8"
"694","-211.65","-211.65","-211.65","","",""
"696","","","","-208.8","-208.8","-208.8"
"698","-211.65","-211.65","-211.65","-208.8","-208.8","-208.8"
"699","-211.65","-211.65","-211.65","","",""
"700","-211.65","-211.65","-211.65","-208.8","-208.8","-208.8"
"701","-211.65","-211.65","-211.65","","",""
"705","-211.65","-211.65","-211.65","-208.8","-208.8","-208.8"
"707","-211.65","-211.65","-211.65","-208.8","-208.8","-208.8"
"708","-211.65","-211.65","-211.65","","",""
"709","-211.65","-211.65","-211.65","","",""
"710","-211.65","-211.65","-211.65","","",""
"711","-211.65","-211.65","-211.65","-208.8","-208.8","-208.8"
"712","-210.95","-210.95","-210.95","","",""
"713","","","","-208.8","-208.8","-208.8"
"714","-210.95","-210.95","-210.95","-208.8","-208.8","-208.8"
"716","","","","-208.8","-208.8","-208.8"
"718","","","","-208.8","-208.8","-208.8"
"719","","","","-208.8","-208.8","-208.8"
"720","-210.95","-210.95","-210.95","","",""
"721","-210.95","-210.95","-210.95","","",""
"724","","","","-208.8","-208.8","-208.8"
"725","","","","-208.8","-208.8","-208.8"
"726","-210.95","-210.95","-210.95","","",""
"727","-210.95","-210.95","-210.95","","",""
"729","-210.85","-210.85","-210.85","","",""
"731","-210.85","-210.85","-210.85","","",""
"732","-210.85","-210.85","-210.85","","",""
"733","-210.85","-210.85","-210.85","","",""
"735","","","","-208.8","-208.8","-208.8"
"737","","","","-208.8","-208.8","-208.8"
"741","","","","-208.8","-208.8","-208.8"
"743","-210.85","-210.85","-210.85","-208.8","-208.8","-208.8"
"745","-210.85","-210.85","-210.85","","",""
"747","","","","-208.8","-208.8","-208.8"
"749","","","","-208.8","-208.8","-208.8"
"751","","","","-208.8","-208.8","-208.8"
"753","","","","-208.8","-208.8","-208.8"
"754","","","","-208.8","-208.8","-208.8"
"755","","","","-208.8","-208.8","-208.8"
"757","-210.85","-210.85","-210.85","-208.8","-208.8","-208.8"
"758","-210.85","-210.85","-210.85","","",""
"759","","","","-208.8","-208.8","-208.8"
"760","-210.55","-210.55","-210.55","","",""
"761","-210.55","-210.55","-210.55","","",""
"762","","","","-208.8","-208.8","-208.8"
"763","","","","-208.8","-208.8","-208.8"
"764","-210","-210","-210","-208.8","-208.8","-208.8"
"765","","","","-208.8","-208.8","-208.8"
"766","","","","-208.8","-208.8","-208.8"
"767","-210","-210","-210","-208.8","-208.8","-208.8"
"768","-210","-210","-210","","",""
"769","-210","-210","-210","","",""
"771","-210","-210","-210","","",""
"774","-210","-210","-210","","",""
"776","-210","-210","-210","","",""
"777","-210","-210","-210","","",""
"778","","","","-208.8","-208.8","-208.8"
"780","-210","-210","-210","-208.8","-208.8","-208.8"
"781","-210","-210","-210","","",""
"783","-210","-210","-210","","",""
"785","-210","-210","-210","","",""
"786","-210","-210","-210","","",""
"788","-210","-210","-210","","",""
"790","-210","-210","-210","-208.8","-208.8","-208.8"
"792","","","","-208.8","-208.8","-208.8"
"793","-210","-210","-210","","",""
"796","-210","-210","-210","-208.8","-208.8","-208.8"
"797","-210","-210","-210","","",""
"798","","","","-208.8","-208.8","-208.8"
"802","","","","-208.8","-208.8","-208.8"
"803","","","","-208.8","-208.8","-208.8"
"804","","","","-208.8","-208.8","-208.8"
"805","","","","-208.8","-208.8","-208.8"
"806","","","","-208.8","-208.8","-208.8"
"807","","","","-208.8","-208.8","-208.8"
"808","-210","-210","-210","-208.8","-208.8","-208.8"
"810","-210","-210","-210","-208.8","-208.8","-208.8"
"812","-209.95","-209.95","-209.95","","",""
"813","-209.95","-209.95","-209.95","","",""
"814","-209.95","-209.95","-209.95","-208.8","-208.8","-208.8"
"815","-209.95","-209.95","-209.95","","",""
"816","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"817","-209.9","-209.9","-209.9","","",""
"818","-209.9","-209.9","-209.9","","",""
"819","-209.9","-209.9","-209.9","","",""
"822","-209.9","-209.9","-209.9","","",""
"823","-209.9","-209.9","-209.9","","",""
"824","-209.9","-209.9","-209.9","","",""
"825","-209.9","-209.9","-209.9","","",""
"826","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"828","","","","-208.8","-208.8","-208.8"
